"37720064","37724159","2.63.144.0/20","201776","Miranda-Media Ltd"
"37728256","37732351","2.63.176.0/20","201776","Miranda-Media Ltd"
"42991616","43253759","2.144.0.0/14","44244","IRANCELL-AS"
"45088768","45219839","2.176.0.0/15","58224","Iran Telecommunication Company PJS"
